Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 03 Aug 2023 19:58:12 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1990-0048-VNM,1990,0048,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Son La, Hoang Lien Son, Ha Tuyen, Binh Dinh, Dac Lac, Lai Chau, Muong Lay provinces",Heavy rain,,,,No,No,,13950,Km2,,,,,1990,6,20,1990,7,8,82,200,10000,,10200,,,,,725,1624,44.64587744,,,,
1990-0069-VNM,1990,0069,,Natural,Meteorological,Storm,Tropical cyclone,,Becky,Viet Nam,VNM,South-Eastern Asia,Asia,"Ky Anh, Quang Trach, Quang Binh district + Son (Ha Nam Ninh province), Tra Ling (Thai Binh province)",,,,,,,,,Kph,,,,,1990,8,,1990,8,,19,108,500000,,500108,,,,,,,44.64587744,,,,
1990-0418-VNM,1990,0418,,Natural,Meteorological,Storm,Tropical cyclone,,,Viet Nam,VNM,South-Eastern Asia,Asia,Nghe Tinh,,,,,,,,,Kph,,,,,1990,11,15,1990,11,15,68,,,,,,,,,,,44.64587744,,,,
1990-0608-VNM,1990,0608,,Natural,Meteorological,Storm,Tropical cyclone,,,Viet Nam,VNM,South-Eastern Asia,Asia,Central Eastern Coast,,,,,,,,,Kph,,,,,1990,10,23,1990,10,23,15,,,2000,2000,,,,,,,44.64587744,,,,
1990-0177-VNM,1990,0177,,Natural,Biological,Epidemic,Parasitic disease,,,Viet Nam,VNM,South-Eastern Asia,Asia,Nghe Tinh,,,,,,,,,Vaccinated,,,,,1990,1,,1990,1,,200,,,,,,,,,,,44.64587744,,,,
1991-0315-VNM,1991,0315,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Son La, Lai Chau provinces",Monsoonal rain,Broken Dam/Burst bank,,,No,No,,30960,Km2,,,,,1991,7,28,1991,7,31,38,14,4000,,4014,,,,,3200,6876,46.53662061,,,,
1991-0229-VNM,1991,0229,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"An Giang, Long An, Dong Thap, Kien Giang provinces",,,,,No,No,,1000,Km2,,,,,1991,8,,1991,8,,21,,270000,600,270600,,,,,5000,10744,46.53662061,,,,
1991-0538-VNM,1991,0538,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"An Giang, Dong Thap, Long An, Tien Giang, Kien Giang provinces (Mekong Delta)",Heavy rain,,,,No,No,,,Km2,,,,Mekong river,1991,9,19,1991,9,25,136,,21000,,21000,,,,,38500,82731,46.53662061,,,,
1991-0210-VNM,1991,0210,,Natural,Meteorological,Storm,Tropical cyclone,,Fred,Viet Nam,VNM,South-Eastern Asia,Asia,"Quanq Bin, Ha Tinh, Than Hoa, Nghe provinces",,,,,,,,,Kph,,,,,1991,8,17,1991,8,17,17,16,,455905,455921,,,,,9500,20414,46.53662061,,,,
1991-0713-VNM,1991,0713,,Natural,Meteorological,Storm,Tropical cyclone,,Zeke,Viet Nam,VNM,South-Eastern Asia,Asia,Quang Ninh Hai Phong,,,,,,,,,Kph,,,,,1991,7,13,1991,7,13,21,6,770,,776,,,,,,,46.53662061,,,,
